百日咳,1
干咳,1
惊厥,1
胸闷,1
痉挛性咳嗽,1
低热,1
抽搐,1
肺阴虚,1
吸气时有蝉鸣音,1
苯中毒,1
步态不稳,1
恶心,1
感觉障碍,1
白细胞减少,1
喘息样支气管炎,1
咳嗽伴哮鸣音,1
喘息,1
哮鸣音,1
化学性支气管炎,1
变应性咳嗽,1
冬春季的慢性咳...,1
纤毛上皮细胞损伤脱落,1
耸肩喘息,1
成人呼吸窘迫综合征,1
大量羊水吸入,1
气急,1
呼吸困难,1
出生后即有持续青紫,1
单纯性肺嗜酸粒细胞浸润症,1
乏力,1
大叶性肺炎,1
发烧,1
高热,1
大楼病综合征,1
鼻塞,1
紧张性头晕,1
间歇性头晕,1
目赤,1
紧张性头痛,1
间歇性头痛,1
二硫化碳中毒,1
腱反射消失,1
呕吐,1
浅感觉减退或缺失,1
周围神经损害,1
谵妄,1
多发性神经炎,1
肺-胸膜阿米巴病,1
肺出血－肾炎综合征,1
肺放线菌病,1
咯血,1
肺泡蛋白沉着症,1
肺泡炎症,1
胸痛,1
肺曲菌病,1
放射性肺炎,1
干性咳嗽,1
肺纤维化,1
肺念珠菌病,1
肺大疱,1
胸闷憋气,1
气短,1
发热伴咳嗽、咯...,1
肺炎球菌肺炎,1
肺气肿,1
桶状胸,1
纵隔浊音界扩大,1
横膈低平,1
呼吸音减弱,1
呼气音延长,1
肺泡蛋白质沉积症,1
紫绀,1
肺炎杆菌肺炎,1
肺脓肿,1
痰中带血丝,1
咳嗽伴杵状指,1
黏稠或脓性痰伴...,1
脓痰,1
肺部疼痛,1
肺内圆形实质性...,1
肺内空洞,1
肺水肿,1
端坐呼吸,1
湿啰音,1
肺通气一血流比例失调,1
混合型酸碱平衡紊乱,1
心血管堵塞,1
肺门阴影增多,1
咳嗽伴呼吸困难,1
水肿伴呼吸困难、紫绀,1
肺功能失常,1
非典,1
持续性发热,1
畏寒,1
肺栓塞,1
右心衰竭,1
心肺栓塞,1
大咯血,1
心律失常,1
发绀,1
低血糖性低温症,1
恶性胸水,1
肺炎,1
发热伴寒战,1
呼气时两颊鼓起和缩唇,1
咳泡沫黏液痰,1
咳嗽,1
咳嗽伴胸痛,1
咳痰,1
咳铁锈色痰,1
肺转移瘤,1
吐血痰,1
肺大泡,1
肺炎性假瘤,1
肺隐球菌病,1
痰呈粘液脓性,1
隐球菌囊膜多糖堆积,1
肺癌,1
胸腔疼痛,1
支气管树受压,1
种植播散,1
咳嗽伴体重减轻,1
咯血伴胸痛,1
肺部小结节,1
镉中毒,1
消化不良,1
指、趾甲显现苍...,1
肺纹理增粗,1
腹泻,1
感冒,1
头痛,1
流鼻涕,1
咽痛,1
浑身忽冷忽热,1
咽喉干燥及灼热感,1
情绪性感冒,1
感染性休克,1
甲皱毛细血管袢数减少,1
尿偏碱,1
脉搏细弱甚至不...,1
低温性昏迷,1
低血压,1
肢端湿冷,1
烦躁不安,1
感染诱发昏迷,1
面色苍白,1
过敏性休克,1
意识模糊,1
意识障碍,1
皮肤瘙痒,1
晕厥,1
皮肤苍白,1
Goodpasture综合征,1
血尿,1
肺部出血,1
过敏性肺炎,1
食欲减退,1
汞中毒,1
腹痛,1
酩酊感,1
汞毒性震颤,1
焦虑,1
齿龈肿胀,1
脸红,1
头昏,1
眼晶体前房棕色光反射,1
呼吸道异物,1
呛咳,1
呼吸性细支气管相关的间质性肺疾病,1
疲劳,1
呼吸衰竭,1
呼吸衰竭,1
上肺纤维化明显,1
呼吸道合胞病毒肺炎,1
减压病,1
瘙痒,1
肌肉酸痛,1
皮下组织水肿,1
丘疹,1
皮下血肿,1
急性呼吸衰竭,1
无名指指甲凹陷,1
心脏功能突然失代偿,1
急性肺脓肿,1
烂桃样血痰,1
高热寒战,1
军团病,1
肌痛,1
急性呼吸窘迫综合征,1
抬肩以助呼吸,1
心源性呼吸窘迫,1
昏迷,1
低氧血症,1
军团菌病,1
眩晕,1
结核性脓胸,1
心脏压塞征象,1
充血,1
胸腔积液,1
肋间隙变窄,1
金黄色葡萄球菌肺炎,1
支气管脓性分泌物增多,1
脓胸,1
咖啡因与氨茶碱中毒,1
尿意窘迫,1
耳鸣,1
血压下降,1
卡氏肺囊虫肺炎,1
消瘦,1
咯血,1
咯血伴发热,1
咯血伴呛咳,1
咯血伴黄疸,1
淋巴结肿大,1
咯血伴有皮肤粘膜出血,1
窒息,1
啰音,1
硫化氢中毒,1
咽喉部干燥刺痒,1
头晕,1
眼睛痒,1
结膜充血,1
老年肺炎,1
发热伴有腹痛、...,1
老人剧烈咳嗽,1
咳嗽痰多,1
痰多,1
铁锈色痰,1
流行性感冒,1
咳声嘶哑,1
打喷嚏,1
扁桃体充血,1
免疫缺陷者肺炎,1
镍中毒,1
铍中毒,1
肉芽肿,1
肾损害,1
疱疹,1
缺血缺氧性脑病,1
睁眼昏迷,1
新生儿反应低下,1
拥抱反射消失,1
肢体震颤,1
嗜睡,1
反应迟钝,1
呼吸不规则,1
吸吮反射消失,1
四肢肌张力增强,1
气胸,1
液气胸,1
胸膜休克,1
肺泡破裂,1
胸膜增厚,1
胸膜粘连,1
胸痛伴呼吸困难,1
球孢子菌病,1
中性粒细胞增高,1
慢性咳嗽,1
嗜酸性粒细胞增多,1
禽流感,1
一过性的流感样症状,1
休克,1
迁延性肺嗜酸粒细胞浸润症,1
体重减轻,1
盗汗,1
夜间盗汗,1
气管肿瘤,1
吞咽困难,1
声音嘶哑,1
血丝痰,1
气管先天性疾病,1
三凹征,1
新生儿喉喘鸣,1
喂食困难,1
食管瘘,1
气管、支气管狭窄,1
气喘,1
呼吸音低,1
乳酸性酸中毒,1
心脏毒性作用,1
神志模糊,1
木僵,1
热带性肺嗜酸粒细胞浸润症,1
肺部啰音,1
肺部可闻及干湿...,1
手术后和创伤后肺炎,1
术后发热,1
鼾症,1
睡眠呼吸暂停,1
睡眠节律紊乱,1
打呼噜,1
睡眠猝死,1
特发性肺纤维化,1
劳力性呼吸困难,1
一侧胸廓塌陷,1
食欲不振,1
脱屑性间质性肺炎,1
无力,1
肺源性呼吸困难,1
心力衰竭,1
水肿,1
特发性阻塞性细支气管炎伴机化性肺炎,1
白细胞增多,1
捻发音,1
血沉增快,1
特发性含铁血黄素沉着症,1
皮肤为金属颜色...,1
外源性过敏性肺泡炎,1
肺间质纤维化,1
心动过速,1
小儿结核病,1
鼻部结核,1
结核中毒,1
淋巴结结核,1
免疫缺陷,1
新生儿呼吸窘迫综合征,1
面色青紫,1
新生儿发绀,1
口鼻周围发绀,1
急性呼吸困难,1
新生儿青紫,1
唇部发绀,1
鼻翼扇动,1
吸入性损伤,1
心率增快,1
粘膜充血,1
气管隆突以上的损伤,1
中度吸入性损伤,1
喉头水肿,1
呼吸道阻塞,1
小儿金黄色葡萄球菌肺炎,1
猩红热样皮疹,1
皮下气肿,1
